structure_id,scenario_id,variant_id,requested_model,cell_status,attempted_runs,accepted_runs,excluded_runs,validation_pass,validation_fail,sl1_review_decision,sl2_review_decision,sl3_review_decision,sl4_review_decision,sl5_review_decision,sl6_review_decision,fm1_review_decision,fm3_review_decision,fm6_review_decision
S18_LOSSY_HANDOFF,S18,PV1_OPERATIONAL_ROUTER,gpt-5.2,completed_with_accepted_runs,5,5,0,5,0,not_recorded,supported_for_reviewed_evidence,not_observed,not_observed,supported_for_reviewed_evidence,not_observed,not_observed,not_observed,not_observed
S18_LOSSY_HANDOFF,S18,PV2_QUEUE_PROCESSOR,gpt-5.2,completed_with_accepted_runs,5,5,0,5,0,not_recorded,not_observed,not_observed,not_observed,supported_for_reviewed_evidence,not_observed,not_observed,partially_supported_needs_revision,partially_supported_needs_revision
S18_LOSSY_HANDOFF,S18,PV3_EXCEPTION_DISCRETION,gpt-5.2,completed_with_accepted_runs,5,5,0,5,0,not_recorded,not_observed,not_observed,not_observed,supported_for_reviewed_evidence,not_observed,not_observed,not_observed,not_observed
S20_EXCEPTION_ROUTE,S20,PV1_OPERATIONAL_ROUTER,gpt-5.2,completed_with_accepted_runs,5,5,0,5,0,partially_supported_needs_revision,supported_for_reviewed_evidence,not_observed,not_observed,supported_for_reviewed_evidence,not_observed,not_observed,partially_supported_needs_revision,partially_supported_needs_revision
S20_EXCEPTION_ROUTE,S20,PV2_QUEUE_PROCESSOR,gpt-5.2,completed_with_accepted_runs,5,3,2,3,2,not_observed,supported_for_reviewed_evidence,not_observed,not_observed,supported_for_reviewed_evidence,not_observed,not_observed,not_observed,not_observed
S20_EXCEPTION_ROUTE,S20,PV3_EXCEPTION_DISCRETION,gpt-5.2,completed_with_accepted_runs,5,5,0,5,0,not_observed,not_observed,not_observed,not_observed,supported_for_reviewed_evidence,not_observed,not_observed,not_observed,not_observed
