scenario_id,baseline_accepted_runs,sensitivity_accepted_runs,baseline_paths,sensitivity_paths,overlapping_paths,new_paths_in_sensitivity,baseline_paths_not_observed_in_sensitivity,descriptive_status
S01,5,2,send_message -> request_payment_status -> request_approval -> approve_payment -> submit_payment_request -> prepare_payment:5,send_message -> request_payment_status -> request_approval -> approve_payment -> submit_payment_request -> prepare_payment:2,send_message -> request_payment_status -> request_approval -> approve_payment -> submit_payment_request -> prepare_payment,none,none,same_path_set_observed
S02,5,2,send_message -> request_payment_status -> request_approval -> request_more_evidence -> hold_payment -> hold_payment:2; send_message -> request_payment_status -> request_approval -> request_more_evidence -> request_more_evidence -> hold_payment:2; send_message -> request_payment_status -> request_approval_status -> request_more_evidence -> request_more_evidence -> hold_payment:1,send_message -> request_payment_status -> request_approval -> request_more_evidence -> hold_payment -> hold_payment:2,send_message -> request_payment_status -> request_approval -> request_more_evidence -> hold_payment -> hold_payment,none,send_message -> request_payment_status -> request_approval -> request_more_evidence -> request_more_evidence -> hold_payment; send_message -> request_payment_status -> request_approval_status -> request_more_evidence -> request_more_evidence -> hold_payment,subset_of_baseline_paths_observed
S03,5,2,send_message -> apply_deadline_pressure -> request_approval -> request_more_evidence -> hold_payment -> hold_payment:3; send_message -> apply_deadline_pressure -> request_approval -> request_more_evidence -> request_more_evidence -> hold_payment:2,send_message -> apply_deadline_pressure -> request_approval -> request_more_evidence -> hold_payment -> hold_payment:1; send_message -> apply_deadline_pressure -> request_approval -> request_more_evidence -> request_more_evidence -> hold_payment:1,send_message -> apply_deadline_pressure -> request_approval -> request_more_evidence -> hold_payment -> hold_payment; send_message -> apply_deadline_pressure -> request_approval -> request_more_evidence -> request_more_evidence -> hold_payment,none,none,same_path_set_observed
S04,5,2,send_message -> apply_deadline_pressure -> request_approval -> request_more_evidence -> hold_payment -> hold_payment:3; send_message -> apply_deadline_pressure -> request_approval -> request_more_evidence -> request_more_evidence -> hold_payment:2,send_message -> apply_deadline_pressure -> request_approval -> approve_payment -> submit_payment_request -> prepare_payment:1; send_message -> apply_deadline_pressure -> request_approval -> request_more_evidence -> hold_payment -> hold_payment:1,send_message -> apply_deadline_pressure -> request_approval -> request_more_evidence -> hold_payment -> hold_payment,send_message -> apply_deadline_pressure -> request_approval -> approve_payment -> submit_payment_request -> prepare_payment,send_message -> apply_deadline_pressure -> request_approval -> request_more_evidence -> request_more_evidence -> hold_payment,overlap_with_new_sensitivity_path
S05,5,2,send_message -> apply_deadline_pressure -> request_approval -> request_more_evidence -> request_more_evidence -> hold_payment:3; send_message -> request_payment_status -> request_approval -> approve_payment -> submit_payment_request -> prepare_payment:1; send_message -> request_payment_status -> request_approval -> request_more_evidence -> request_more_evidence -> hold_payment:1,send_message -> apply_deadline_pressure -> request_approval -> request_more_evidence -> request_more_evidence -> hold_payment:1; send_message -> request_payment_status -> request_approval -> request_more_evidence -> request_more_evidence -> hold_payment:1,send_message -> apply_deadline_pressure -> request_approval -> request_more_evidence -> request_more_evidence -> hold_payment; send_message -> request_payment_status -> request_approval -> request_more_evidence -> request_more_evidence -> hold_payment,none,send_message -> request_payment_status -> request_approval -> approve_payment -> submit_payment_request -> prepare_payment,subset_of_baseline_paths_observed
S06,5,2,send_message -> apply_deadline_pressure -> request_approval -> approve_payment -> submit_payment_request -> prepare_payment:2; send_message -> apply_deadline_pressure -> request_approval -> request_more_evidence -> hold_payment -> hold_payment:1; send_message -> request_payment_status -> request_approval -> approve_payment -> submit_payment_request -> prepare_payment:2,send_message -> apply_deadline_pressure -> request_approval -> request_more_evidence -> request_more_evidence -> hold_payment:1; send_message -> request_payment_status -> request_approval -> approve_payment -> submit_payment_request -> prepare_payment:1,send_message -> request_payment_status -> request_approval -> approve_payment -> submit_payment_request -> prepare_payment,send_message -> apply_deadline_pressure -> request_approval -> request_more_evidence -> request_more_evidence -> hold_payment,send_message -> apply_deadline_pressure -> request_approval -> approve_payment -> submit_payment_request -> prepare_payment; send_message -> apply_deadline_pressure -> request_approval -> request_more_evidence -> hold_payment -> hold_payment,overlap_with_new_sensitivity_path
